lineage_id,excluded_split,reason,spans
CRACK500_20160328_154452.png,test,lineage leak to train,"test,train"
CRACK500_20160328_154454.png,test,lineage leak to train,"test,train"
CRACK500_20160329_103609.png,test,lineage leak to train,"test,train"
CRACK500_20160329_103800.png,test,lineage leak to train,"test,train"
CRACK500_20160329_111111.png,test,lineage leak to train,"test,train"
CrSpEE_Column_compression_failure250.png,test,lineage leak to train,"test,train"
CrSpEE_Cracked-Pier-failure1.png,test,lineage leak to train,"test,train"
CrSpEE_NZ006_Damage_1.png,test,lineage leak to train,"test,train"
CrSpEE_beams_shear_failure-29.png,test,lineage leak to train,"test,train"
CrSpEE_column #3 cu2.png,test,lineage leak to train,"test,train"
CrSpEE_column_cracking0008.png,test,lineage leak to train,"test,train"
CrSpEE_column_cracking0009.png,test,lineage leak to train,"test,train"
CrSpEE_column_cracking0031.png,test,lineage leak to train,"test,train"
CrSpEE_columns_shear_failure14.png,test,lineage leak to train,"test,train"
CrSpEE_concrete_column_damage113.png,test,lineage leak to train,"test,train"
CrSpEE_cracking31.png,test,lineage leak to train,"test,train"
CrSpEE_cracking63.png,test,lineage leak to train,"test,train"
CrSpEE_flexural craking and failure12.png,test,lineage leak to train,"test,train"
CrSpEE_flexural_failure3.png,test,lineage leak to train,"test,train"
CrSpEE_images_shear1.png,test,lineage leak to train,"test,train"
DeepCrack_11289-1.png,test,lineage leak to train,"test,train"
DeepCrack_11289-10.png,test,lineage leak to train,"test,train"
DeepCrack_11289-2.png,test,lineage leak to train,"test,train"
DeepCrack_11289-3.png,test,lineage leak to train,"test,train"
DeepCrack_11289-5.png,test,lineage leak to train,"test,train"
DeepCrack_11289-6.png,test,lineage leak to train,"test,train"
DeepCrack_11289-7.png,test,lineage leak to train,"test,train"
DeepCrack_11289-8.png,test,lineage leak to train,"test,train"
DeepCrack_11289-9.png,test,lineage leak to train,"test,train"
LCW_0.png,test,lineage leak to train,"test,train"
LCW_101.png,test,lineage leak to train,"test,train"
LCW_103.png,test,lineage leak to train,"test,train"
LCW_104.png,test,lineage leak to train,"test,train"
LCW_114.png,test,lineage leak to train,"test,train"
LCW_120.png,test,lineage leak to train,"test,train"
LCW_121.png,test,lineage leak to train,"test,train"
LCW_130.png,test,lineage leak to train,"test,train"
LCW_133.png,test,lineage leak to train,"test,train"
LCW_145.png,test,lineage leak to train,"test,train"
LCW_15.png,test,lineage leak to train,"test,train"
LCW_150.png,test,lineage leak to train,"test,train"
LCW_166.png,test,lineage leak to train,"test,train"
LCW_181.png,test,lineage leak to train,"test,train"
LCW_185.png,test,lineage leak to train,"test,train"
LCW_186.png,test,lineage leak to train,"test,train"
LCW_187.png,test,lineage leak to train,"test,train"
LCW_188.png,test,lineage leak to train,"test,train"
LCW_19.png,test,lineage leak to train,"test,train"
LCW_190.png,test,lineage leak to train,"test,train"
LCW_194.png,test,lineage leak to train,"test,train"
LCW_195.png,test,lineage leak to train,"test,train"
LCW_202.png,test,lineage leak to train,"test,train"
LCW_203.png,test,lineage leak to train,"test,train"
LCW_204.png,test,lineage leak to train,"test,train"
LCW_208.png,test,lineage leak to train,"test,train"
LCW_213.png,test,lineage leak to train,"test,train"
LCW_218.png,test,lineage leak to train,"test,train"
LCW_223.png,test,lineage leak to train,"test,train"
LCW_224.png,test,lineage leak to train,"test,train"
LCW_230.png,test,lineage leak to train,"test,train"
LCW_235.png,test,lineage leak to train,"test,train"
LCW_236.png,test,lineage leak to train,"test,train"
LCW_239.png,test,lineage leak to train,"test,train"
LCW_242.png,test,lineage leak to train,"test,train"
LCW_243.png,test,lineage leak to train,"test,train"
LCW_250.png,test,lineage leak to train,"test,train"
LCW_253.png,test,lineage leak to train,"test,train"
LCW_255.png,test,lineage leak to train,"test,train"
LCW_259.png,test,lineage leak to train,"test,train"
LCW_279.png,test,lineage leak to train,"test,train"
