row_id,image,mask,split,source_id
S2DS_563.png,/hdd1/hieulc/datacrack/images/validation/S2DS_563.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_563.png,val,S
S2DS_564.png,/hdd1/hieulc/datacrack/images/validation/S2DS_564.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_564.png,val,S
S2DS_568.png,/hdd1/hieulc/datacrack/images/validation/S2DS_568.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_568.png,val,S
S2DS_569.png,/hdd1/hieulc/datacrack/images/validation/S2DS_569.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_569.png,val,S
S2DS_571.png,/hdd1/hieulc/datacrack/images/validation/S2DS_571.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_571.png,val,S
S2DS_572.png,/hdd1/hieulc/datacrack/images/validation/S2DS_572.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_572.png,val,S
S2DS_573.png,/hdd1/hieulc/datacrack/images/validation/S2DS_573.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_573.png,val,S
S2DS_574.png,/hdd1/hieulc/datacrack/images/validation/S2DS_574.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_574.png,val,S
S2DS_575.png,/hdd1/hieulc/datacrack/images/validation/S2DS_575.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_575.png,val,S
S2DS_576.png,/hdd1/hieulc/datacrack/images/validation/S2DS_576.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_576.png,val,S
S2DS_577.png,/hdd1/hieulc/datacrack/images/validation/S2DS_577.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_577.png,val,S
S2DS_578.png,/hdd1/hieulc/datacrack/images/validation/S2DS_578.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_578.png,val,S
S2DS_579.png,/hdd1/hieulc/datacrack/images/validation/S2DS_579.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_579.png,val,S
S2DS_580.png,/hdd1/hieulc/datacrack/images/validation/S2DS_580.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_580.png,val,S
S2DS_585.png,/hdd1/hieulc/datacrack/images/validation/S2DS_585.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_585.png,val,S
S2DS_586.png,/hdd1/hieulc/datacrack/images/validation/S2DS_586.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_586.png,val,S
S2DS_587.png,/hdd1/hieulc/datacrack/images/validation/S2DS_587.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_587.png,val,S
S2DS_588.png,/hdd1/hieulc/datacrack/images/validation/S2DS_588.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_588.png,val,S
S2DS_589.png,/hdd1/hieulc/datacrack/images/validation/S2DS_589.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_589.png,val,S
S2DS_590.png,/hdd1/hieulc/datacrack/images/validation/S2DS_590.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_590.png,val,S
S2DS_591.png,/hdd1/hieulc/datacrack/images/validation/S2DS_591.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_591.png,val,S
S2DS_593.png,/hdd1/hieulc/datacrack/images/validation/S2DS_593.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_593.png,val,S
S2DS_595.png,/hdd1/hieulc/datacrack/images/validation/S2DS_595.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_595.png,val,S
S2DS_596.png,/hdd1/hieulc/datacrack/images/validation/S2DS_596.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_596.png,val,S
S2DS_597.png,/hdd1/hieulc/datacrack/images/validation/S2DS_597.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_597.png,val,S
S2DS_598.png,/hdd1/hieulc/datacrack/images/validation/S2DS_598.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_598.png,val,S
S2DS_599.png,/hdd1/hieulc/datacrack/images/validation/S2DS_599.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_599.png,val,S
S2DS_601.png,/hdd1/hieulc/datacrack/images/validation/S2DS_601.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_601.png,val,S
S2DS_603.png,/hdd1/hieulc/datacrack/images/validation/S2DS_603.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_603.png,val,S
S2DS_604.png,/hdd1/hieulc/datacrack/images/validation/S2DS_604.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_604.png,val,S
S2DS_605.png,/hdd1/hieulc/datacrack/images/validation/S2DS_605.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_605.png,val,S
S2DS_606.png,/hdd1/hieulc/datacrack/images/validation/S2DS_606.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_606.png,val,S
S2DS_607.png,/hdd1/hieulc/datacrack/images/validation/S2DS_607.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_607.png,val,S
S2DS_609.png,/hdd1/hieulc/datacrack/images/validation/S2DS_609.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_609.png,val,S
S2DS_611.png,/hdd1/hieulc/datacrack/images/validation/S2DS_611.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_611.png,val,S
S2DS_613.png,/hdd1/hieulc/datacrack/images/validation/S2DS_613.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_613.png,val,S
S2DS_615.png,/hdd1/hieulc/datacrack/images/validation/S2DS_615.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_615.png,val,S
S2DS_616.png,/hdd1/hieulc/datacrack/images/validation/S2DS_616.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_616.png,val,S
S2DS_617.png,/hdd1/hieulc/datacrack/images/validation/S2DS_617.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_617.png,val,S
S2DS_618.png,/hdd1/hieulc/datacrack/images/validation/S2DS_618.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_618.png,val,S
S2DS_622.png,/hdd1/hieulc/datacrack/images/validation/S2DS_622.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_622.png,val,S
S2DS_623.png,/hdd1/hieulc/datacrack/images/validation/S2DS_623.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_623.png,val,S
S2DS_624.png,/hdd1/hieulc/datacrack/images/validation/S2DS_624.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_624.png,val,S
S2DS_626.png,/hdd1/hieulc/datacrack/images/validation/S2DS_626.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_626.png,val,S
S2DS_628.png,/hdd1/hieulc/datacrack/images/validation/S2DS_628.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_628.png,val,S
S2DS_629.png,/hdd1/hieulc/datacrack/images/validation/S2DS_629.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_629.png,val,S
S2DS_630.png,/hdd1/hieulc/datacrack/images/validation/S2DS_630.png,/hdd1/hieulc/datacrack/annotations/validation/S2DS_630.png,val,S
